n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),dopBuildCount,
 10, 303.00, 0.00, 2, 0, 3,
 20, 938.00, 0.00, 10, 2, 10,
 30, 2225.00, 2.00, 42, 23, 24,
 50, 4253.00, 3.00, 66, 35, 46,
 40, 3527.00, 2.00, 42, 19, 38,
 60, 5448.00, 4.00, 121, 49, 59,
 70, 6293.00, 6.00, 144, 61, 68,
 90, 8263.00, 9.00, 261, 84, 88,
 80, 7236.00, 7.00, 167, 85, 78,
 100, 9019.00, 14.00, 335, 161, 97,
