n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 749.00,0.00, 0,
 600, 747.00,7.00, 11,
 900, 752.00,10.00, 9,
 200, 745.00,3.00, 1,
 700, 746.00,7.00, 11,
 50, 749.00,1.00, 0,
 300, 749.00,3.00, 2,
 400, 750.00,5.00, 5,
 500, 752.00,6.00, 8,
 800, 753.00,9.00, 10,
 100, 750.00,2.00, 4,
 1000, 750.00,12.00, 16,
