n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 743.00,1.00, 0,
 600, 751.00,7.00, 11,
 900, 751.00,10.00, 9,
 200, 749.00,2.00, 1,
 700, 752.00,8.00, 11,
 50, 750.00,1.00, 0,
 300, 744.00,4.00, 2,
 400, 750.00,4.00, 5,
 500, 751.00,7.00, 8,
 800, 753.00,9.00, 10,
 100, 752.00,1.00, 4,
 1000, 750.00,12.00, 16,
