n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 31430.00,0.00, 0,
 600, 31490.00,7.00, 4,
 900, 31646.00,10.00, 3,
 200, 31524.00,3.00, 1,
 700, 31554.00,8.00, 1,
 50, 31498.00,1.00, 0,
 300, 31813.00,3.00, 0,
 400, 31923.00,5.00, 1,
 500, 31513.00,6.00, 5,
 800, 31446.00,15.00, 3,
 100, 31874.00,2.00, 2,
 1000, 31423.00,13.00, 8,
