n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 188.00,0.00, 0,
 600, 190.00,6.00, 8,
 900, 189.00,9.00, 7,
 200, 189.00,2.00, 1,
 700, 187.00,8.00, 8,
 50, 190.00,1.00, 0,
 300, 187.00,3.00, 2,
 400, 188.00,4.00, 6,
 500, 188.00,5.00, 8,
 800, 188.00,9.00, 8,
 100, 190.00,1.00, 4,
 1000, 191.00,11.00, 17,
