n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 745.00,0.00, 0,
 600, 753.00,6.00, 11,
 900, 749.00,9.00, 9,
 200, 751.00,2.00, 1,
 700, 751.00,7.00, 11,
 50, 751.00,1.00, 0,
 300, 744.00,4.00, 2,
 400, 750.00,5.00, 5,
 500, 752.00,6.00, 8,
 800, 750.00,9.00, 10,
 100, 748.00,2.00, 4,
 1000, 750.00,12.00, 16,
