n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 31288.00,1.00, 0,
 600, 31282.00,7.00, 4,
 900, 31452.00,11.00, 3,
 200, 31267.00,3.00, 1,
 700, 31239.00,8.00, 1,
 50, 31236.00,0.00, 0,
 300, 31206.00,4.00, 0,
 400, 31259.00,5.00, 1,
 500, 31235.00,6.00, 5,
 800, 31403.00,15.00, 3,
 100, 31225.00,2.00, 2,
 1000, 31566.00,13.00, 8,
