n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 2566.00,0.00, 0,
 600, 2559.00,9.00, 5,
 900, 2573.00,9.00, 1,
 200, 2552.00,3.00, 0,
 700, 2555.00,7.00, 1,
 50, 2572.00,0.00, 0,
 300, 2560.00,4.00, 0,
 400, 2558.00,5.00, 1,
 500, 2556.00,6.00, 2,
 800, 2572.00,10.00, 4,
 100, 2559.00,2.00, 2,
 1000, 2577.00,12.00, 9,
