model,CT(kDop),CT(kCBP),CT(Convexhull),init(AABB),CD(kDop),CD(kCBP),CD(Convexhull),hitRate(kDop),hitRate(kCBP),hitRate(Convexhull),DP(model),
models/happy_buddha.obj , 26.00, 26.00, 122.00, 1359.00, 119.00, 107.00, 97.40, 0.5412, 0.7731, 0.9020, 92,
models/dinosaur.obj , 41.00, 37.00, 203.00, 2314.00, 45.00, 41.20, 41.60, 0.1807, 0.3261, 0.3846, 15,
models/bunny2.obj , 4.00, 9.00, 32.00, 103.00, 108.20, 95.20, 80.60, 0.6330, 0.7907, 0.9084, 238,
models/alice.obj ,1,1,1,1,1,1,1,1,1,1,1,
models/dragon.obj , 87.00, 75.00, 381.00, 6623.00, 57.80, 50.40, 52.40, 0.5845, 0.7442, 0.8366, 128,
models/apple.obj , 9.00, 31.00, 47.00, 208.00, 252.40, 218.40, 195.40, 0.7883, 0.9084, 0.9587, 232,
models/hand.obj , 62.00, 58.00, 407.00, 4494.00, 73.80, 66.40, 67.40, 0.5108, 0.6698, 0.8452, 71,
