model,CT(kDop),CT(kCBP),CT(Convexhull),init(AABB),CD(kDop),CD(kCBP),CD(Convexhull),hitRate(kDop),hitRate(kCBP),hitRate(Convexhull),DP(model),
models/happy_buddha.obj , 25.00, 26.00, 122.00, 1336.00, 118.20, 106.80, 94.00, 0.5412, 0.7731, 0.9020, 92,
models/dinosaur.obj , 40.00, 37.00, 204.00, 2246.00, 44.80, 41.00, 40.20, 0.1807, 0.3261, 0.3846, 15,
models/bunny2.obj , 4.00, 10.00, 36.00, 101.00, 109.00, 94.60, 79.60, 0.6330, 0.7907, 0.9084, 238,
models/alice.obj ,1,1,1,1,1,1,1,1,1,1,1,
models/dragon.obj , 84.00, 76.00, 378.00, 6510.00, 57.20, 51.20, 52.80, 0.5845, 0.7442, 0.8366, 128,
models/apple.obj , 9.00, 31.00, 47.00, 206.00, 253.40, 219.40, 194.80, 0.7883, 0.9084, 0.9587, 232,
models/hand.obj , 63.00, 57.00, 410.00, 4437.00, 72.00, 67.00, 66.60, 0.5108, 0.6698, 0.8452, 71,
