model,CT(kDop),CT(kCBP),CT(Convexhull),init(AABB),CD(kDop),CD(kCBP),CD(Convexhull),hitRate(kDop),hitRate(kCBP),hitRate(Convexhull),DP(model),
models/happy_buddha.obj , 25.00, 26.00, 121.00, 1365.00, 115.00, 106.60, 95.00, 0.5412, 0.7731, 0.9020, 92,
models/dinosaur.obj , 39.00, 37.00, 205.00, 2243.00, 45.00, 41.20, 41.40, 0.1807, 0.3261, 0.3846, 15,
models/bunny2.obj , 3.00, 9.00, 35.00, 104.00, 110.40, 94.40, 79.00, 0.6330, 0.7907, 0.9084, 238,
models/alice.obj ,1,1,1,1,1,1,1,1,1,1,1,
models/dragon.obj , 84.00, 75.00, 383.00, 6516.00, 57.40, 51.20, 52.40, 0.5845, 0.7442, 0.8366, 128,
models/apple.obj , 8.00, 23.00, 47.00, 205.00, 255.60, 229.60, 200.80, 0.7883, 0.9084, 0.9587, 232,
models/hand.obj , 62.00, 57.00, 404.00, 4408.00, 72.00, 66.00, 69.20, 0.5108, 0.6698, 0.8452, 71,
