model,CT(kDop),CT(kCBP),CT(Convexhull),init(AABB),CD(kDop),CD(kCBP),CD(Convexhull),hitRate(kDop),hitRate(kCBP),hitRate(Convexhull),DP(model),
models/happy_buddha.obj , 24.00, 30.00, 122.00, 1340.00, 114.60, 107.00, 96.40, 0.5412, 0.7731, 0.9020, 92,
models/dinosaur.obj , 39.00, 37.00, 205.00, 2268.00, 46.00, 40.60, 41.00, 0.1807, 0.3261, 0.3846, 15,
models/bunny2.obj , 4.00, 10.00, 34.00, 102.00, 110.40, 94.60, 79.20, 0.6330, 0.7907, 0.9084, 238,
models/alice.obj ,1,1,1,1,1,1,1,1,1,1,1,
models/dragon.obj , 84.00, 76.00, 390.00, 6548.00, 57.40, 50.60, 51.60, 0.5845, 0.7442, 0.8366, 128,
models/apple.obj , 9.00, 15.00, 63.00, 206.00, 251.80, 218.80, 196.00, 0.7883, 0.9084, 0.9587, 232,
models/hand.obj , 62.00, 56.00, 402.00, 4433.00, 72.60, 66.20, 65.40, 0.5108, 0.6698, 0.8452, 71,
