model,CT(kDop),CT(kCBP),CT(Convexhull),init(AABB),CD(kDop),CD(kCBP),CD(Convexhull),hitRate(kDop),hitRate(kCBP),hitRate(Convexhull),DP(model),
models/happy_buddha.obj , 25.00, 27.00, 120.00, 1339.00, 119.00, 108.80, 96.00, 0.5412, 0.7731, 0.9020, 92,
models/dinosaur.obj , 39.00, 37.00, 202.00, 2266.00, 44.80, 40.40, 41.40, 0.1807, 0.3261, 0.3846, 15,
models/bunny2.obj , 4.00, 11.00, 34.00, 101.00, 111.00, 93.40, 80.00, 0.6330, 0.7907, 0.9084, 238,
models/alice.obj ,1,1,1,1,1,1,1,1,1,1,1,
models/dragon.obj , 84.00, 76.00, 379.00, 6525.00, 57.60, 50.80, 52.00, 0.5845, 0.7442, 0.8366, 128,
models/apple.obj , 8.00, 17.00, 47.00, 207.00, 253.80, 220.80, 198.60, 0.7883, 0.9084, 0.9587, 232,
models/hand.obj , 63.00, 57.00, 405.00, 4426.00, 71.00, 66.40, 65.80, 0.5108, 0.6698, 0.8452, 71,
