n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,9.0,17.0,0.0,0.0, 2, 0
200,174.0,1077.0,35.0,54.0, 718, 556
150,136.0,805.0,22.0,31.0, 423, 344
30,32.0,130.0,2.0,2.0, 31, 24
50,60.0,248.0,3.0,3.0, 43, 35
130,109.0,699.0,16.0,21.0, 276, 223
110,101.0,581.0,14.0,17.0, 220, 171
70,60.0,368.0,5.0,5.0, 77, 61
90,84.0,475.0,8.0,10.0, 119, 84
100,104.0,526.0,11.0,14.0, 200, 161
170,150.0,917.0,24.0,34.0, 431, 328
