n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 1.00,12, 1.00, 277.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 35.00, 1.00,25, 2.00, 457.00, 5, 0.00, 1.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 53.00, 3.00,37, 3.00, 2250.00, 25, 1.00, 15.00, 1.00, 16.00, 25, 34, 18, 18, 16,
50, 86.00, 4.00,62, 5.00, 3967.00, 44, 2.00, 6.00, 2.00, 6.00, 44, 52, 29, 29, 21,
40, 70.00, 3.00,50, 4.00, 3067.00, 34, 1.00, 20.00, 0.00, 20.00, 34, 26, 18, 18, 15,
60, 105.00, 5.00,76, 7.00, 4797.00, 53, 2.00, 7.00, 1.00, 7.00, 53, 68, 42, 42, 34,
70, 121.00, 6.00,87, 7.00, 5841.00, 64, 3.00, 59.00, 2.00, 59.00, 64, 100, 51, 51, 39,
90, 154.00, 7.00,115, 10.00, 7545.00, 84, 4.00, 72.00, 3.00, 72.00, 84, 145, 84, 84, 65,
80, 135.00, 6.00,100, 9.00, 6835.00, 76, 4.00, 51.00, 2.00, 51.00, 76, 119, 68, 68, 57,
100, 170.00, 8.00,128, 11.00, 8377.00, 93, 4.00, 95.00, 5.00, 92.00, 93, 237, 140, 140, 113,
