n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,9.0,16.0,0.0,0.0, 2, 0
200,171.0,1054.0,35.0,54.0, 718, 556
150,124.0,787.0,20.0,29.0, 423, 344
30,36.0,127.0,1.0,1.0, 31, 24
50,49.0,242.0,3.0,3.0, 43, 35
130,123.0,684.0,16.0,21.0, 276, 223
110,99.0,569.0,13.0,17.0, 220, 171
70,66.0,363.0,5.0,5.0, 77, 61
90,87.0,465.0,8.0,10.0, 119, 84
100,95.0,513.0,10.0,14.0, 200, 161
170,151.0,898.0,23.0,33.0, 431, 328
