n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 10.00, 0.00,4, 1.00, 34.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 29.00, 1.00,7, 2.00, 91.00, 8, 0.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 30.00, 2.00,9, 3.00, 285.00, 25, 1.00, 1.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 54.00, 3.00,16, 6.00, 446.00, 40, 2.00, 1.00, 1.00, 1.00, 40, 44, 34, 34, 33,
40, 38.00, 3.00,13, 5.00, 368.00, 33, 2.00, 0.00, 0.00, 1.00, 33, 26, 21, 21, 20,
60, 64.00, 3.00,20, 7.00, 618.00, 55, 3.00, 1.00, 1.00, 2.00, 55, 70, 56, 56, 53,
70, 68.00, 4.00,23, 8.00, 701.00, 63, 3.00, 3.00, 2.00, 3.00, 63, 90, 65, 65, 61,
90, 84.00, 5.00,29, 10.00, 927.00, 84, 3.00, 4.00, 3.00, 4.00, 84, 144, 106, 106, 103,
80, 93.00, 4.00,25, 10.00, 881.00, 78, 3.00, 4.00, 4.00, 4.00, 78, 123, 96, 96, 86,
100, 101.00, 5.00,32, 12.00, 1028.00, 93, 5.00, 7.00, 5.00, 8.00, 93, 220, 183, 183, 170,
