n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 0.00,16, 1.00, 362.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 39.00, 1.00,32, 2.00, 488.00, 4, 0.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 56.00, 1.00,48, 3.00, 2283.00, 19, 1.00, 1.00, 0.00, 1.00, 19, 21, 7, 7, 5,
50, 94.00, 2.00,79, 5.00, 3163.00, 26, 1.00, 1.00, 0.00, 0.00, 26, 18, 7, 7, 5,
40, 74.00, 1.00,63, 4.00, 2502.00, 21, 1.00, 1.00, 0.00, 0.00, 21, 11, 8, 8, 5,
60, 112.00, 2.00,95, 7.00, 4360.00, 36, 1.00, 2.00, 0.00, 1.00, 36, 29, 9, 9, 4,
70, 131.00, 2.00,111, 8.00, 6122.00, 51, 2.00, 2.00, 1.00, 1.00, 51, 42, 15, 15, 12,
90, 165.00, 2.00,143, 10.00, 7628.00, 63, 3.00, 2.00, 1.00, 1.00, 63, 61, 17, 17, 11,
80, 151.00, 2.00,130, 9.00, 6909.00, 57, 2.00, 2.00, 2.00, 1.00, 57, 57, 19, 19, 8,
100, 188.00, 3.00,161, 11.00, 9484.00, 77, 3.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
