n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 0.00,13, 1.00, 279.00, 3, 0.00, 1.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 35.00, 2.00,24, 3.00, 460.00, 5, 0.00, 1.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 54.00, 2.00,38, 3.00, 2248.00, 25, 1.00, 16.00, 1.00, 16.00, 25, 34, 18, 18, 16,
50, 91.00, 4.00,63, 5.00, 3983.00, 44, 2.00, 7.00, 1.00, 7.00, 44, 52, 29, 29, 21,
40, 71.00, 3.00,50, 5.00, 3103.00, 34, 1.00, 20.00, 0.00, 20.00, 34, 26, 18, 18, 15,
60, 103.00, 5.00,75, 7.00, 4787.00, 53, 2.00, 6.00, 1.00, 6.00, 53, 68, 42, 42, 34,
70, 120.00, 5.00,89, 7.00, 5829.00, 64, 3.00, 60.00, 2.00, 63.00, 64, 100, 51, 51, 39,
90, 156.00, 7.00,114, 9.00, 7610.00, 84, 3.00, 74.00, 4.00, 73.00, 84, 145, 84, 84, 65,
80, 138.00, 7.00,102, 12.00, 6923.00, 76, 3.00, 52.00, 3.00, 51.00, 76, 119, 68, 68, 57,
100, 172.00, 8.00,129, 10.00, 8467.00, 93, 3.00, 96.00, 6.00, 96.00, 93, 237, 140, 140, 113,
