n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 23.00, 1.00,7, 1.00, 34.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
200, 192.00, 11.00,62, 22.00, 2162.00, 199, 8.00, 23.00, 18.00, 27.00, 199, 828, 633, 633, 598,
150, 137.00, 8.00,47, 16.00, 1605.00, 147, 6.00, 13.00, 10.00, 15.00, 147, 461, 363, 363, 345,
30, 27.00, 2.00,9, 4.00, 270.00, 25, 1.00, 1.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 53.00, 2.00,16, 6.00, 428.00, 40, 2.00, 1.00, 1.00, 1.00, 40, 44, 34, 34, 33,
130, 125.00, 7.00,41, 14.00, 1356.00, 126, 6.00, 9.00, 7.00, 10.00, 126, 319, 243, 243, 234,
110, 101.00, 5.00,36, 12.00, 1161.00, 106, 4.00, 6.00, 5.00, 8.00, 106, 239, 186, 186, 177,
70, 68.00, 3.00,23, 8.00, 675.00, 63, 3.00, 2.00, 2.00, 2.00, 63, 90, 65, 65, 61,
90, 94.00, 5.00,28, 11.00, 901.00, 84, 4.00, 4.00, 3.00, 5.00, 84, 144, 106, 106, 103,
100, 96.00, 5.00,32, 12.00, 1003.00, 93, 4.00, 7.00, 5.00, 7.00, 93, 220, 183, 183, 170,
170, 155.00, 9.00,54, 20.00, 1836.00, 170, 7.00, 15.00, 11.00, 18.00, 170, 500, 388, 388, 361,
