n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 0.00,16, 1.00, 363.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 40.00, 0.00,32, 3.00, 493.00, 4, 0.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 56.00, 1.00,49, 4.00, 2304.00, 19, 0.00, 1.00, 1.00, 0.00, 19, 21, 7, 7, 5,
50, 94.00, 2.00,81, 6.00, 3117.00, 26, 2.00, 1.00, 0.00, 0.00, 26, 18, 7, 7, 5,
40, 77.00, 1.00,64, 5.00, 2520.00, 21, 1.00, 1.00, 0.00, 0.00, 21, 11, 8, 8, 5,
60, 111.00, 2.00,104, 7.00, 4364.00, 36, 2.00, 1.00, 1.00, 0.00, 36, 29, 9, 9, 4,
70, 133.00, 2.00,113, 8.00, 6298.00, 51, 2.00, 1.00, 1.00, 0.00, 51, 42, 15, 15, 12,
90, 165.00, 2.00,143, 10.00, 7508.00, 63, 2.00, 2.00, 2.00, 1.00, 63, 61, 17, 17, 11,
80, 150.00, 2.00,132, 9.00, 6967.00, 57, 2.00, 2.00, 1.00, 1.00, 57, 57, 19, 19, 8,
100, 181.00, 2.00,162, 11.00, 9272.00, 77, 3.00, 6.00, 2.00, 4.00, 77, 106, 37, 37, 21,
