n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,33.0,280.0,0.0,1.0, 0, 0
20,64.0,458.0,2.0,1.0, 2, 2
30,95.0,2248.0,17.0,16.0, 18, 16
50,156.0,3958.0,8.0,7.0, 29, 21
40,127.0,3081.0,21.0,20.0, 18, 15
60,190.0,4768.0,8.0,7.0, 42, 34
70,222.0,5774.0,62.0,61.0, 51, 39
90,286.0,7563.0,76.0,75.0, 84, 65
80,250.0,6824.0,55.0,54.0, 68, 57
100,314.0,8392.0,99.0,99.0, 140, 113
