n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 9.00, 1.00,1, 1.00, 18.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
20, 11.00, 2.00,2, 2.00, 53.00, 10, 1.00, 0.00, 0.00, 0.00, 10, 10, 4, 4, 2,
30, 17.00, 2.00,4, 3.00, 128.00, 24, 1.00, 1.00, 1.00, 1.00, 24, 42, 31, 31, 24,
50, 45.00, 4.00,5, 5.00, 246.00, 46, 2.00, 2.00, 1.00, 2.00, 46, 66, 43, 43, 35,
40, 28.00, 3.00,4, 5.00, 202.00, 38, 2.00, 1.00, 1.00, 0.00, 38, 42, 21, 21, 19,
60, 44.00, 4.00,6, 7.00, 319.00, 59, 2.00, 3.00, 3.00, 2.00, 59, 121, 62, 62, 49,
70, 45.00, 5.00,7, 8.00, 364.00, 68, 3.00, 3.00, 3.00, 2.00, 68, 144, 77, 77, 61,
90, 52.00, 7.00,9, 10.00, 484.00, 88, 4.00, 5.00, 6.00, 5.00, 88, 261, 119, 119, 84,
80, 52.00, 5.00,8, 9.00, 429.00, 78, 4.00, 3.00, 3.00, 4.00, 78, 167, 101, 101, 85,
100, 65.00, 8.00,9, 12.00, 538.00, 97, 5.00, 7.00, 7.00, 7.00, 97, 335, 200, 200, 161,
