n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,37.0,359.0,0.0,0.0, 0, 0
20,74.0,487.0,1.0,0.0, 2, 2
30,110.0,2330.0,2.0,1.0, 7, 5
50,180.0,3073.0,2.0,1.0, 7, 5
40,146.0,2501.0,1.0,0.0, 8, 5
60,215.0,4271.0,3.0,1.0, 9, 4
70,249.0,6067.0,3.0,1.0, 15, 12
90,321.0,7494.0,5.0,3.0, 17, 11
80,282.0,6762.0,5.0,2.0, 19, 8
100,357.0,9173.0,9.0,6.0, 37, 21
