n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 6.00, 1.00,1, 1.00, 17.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
20, 17.00, 2.00,2, 3.00, 56.00, 10, 0.00, 1.00, 0.00, 0.00, 10, 10, 4, 4, 2,
30, 17.00, 2.00,3, 4.00, 129.00, 24, 1.00, 1.00, 1.00, 0.00, 24, 42, 31, 31, 24,
50, 68.00, 4.00,5, 6.00, 255.00, 46, 2.00, 1.00, 2.00, 1.00, 46, 66, 43, 43, 35,
40, 22.00, 3.00,4, 5.00, 205.00, 38, 1.00, 1.00, 1.00, 1.00, 38, 42, 21, 21, 19,
60, 43.00, 4.00,6, 7.00, 316.00, 59, 3.00, 3.00, 3.00, 2.00, 59, 121, 62, 62, 49,
70, 44.00, 5.00,7, 8.00, 370.00, 68, 3.00, 2.00, 3.00, 3.00, 68, 144, 77, 77, 61,
90, 52.00, 6.00,10, 10.00, 478.00, 88, 3.00, 5.00, 6.00, 4.00, 88, 261, 119, 119, 84,
80, 52.00, 6.00,8, 9.00, 422.00, 78, 3.00, 4.00, 4.00, 3.00, 78, 167, 101, 101, 85,
100, 68.00, 8.00,10, 11.00, 522.00, 97, 4.00, 7.00, 7.00, 7.00, 97, 335, 200, 200, 161,
