n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,18.0,34.0,0.0,0.0, 2, 2
20,30.0,86.0,0.0,1.0, 3, 2
30,52.0,270.0,2.0,2.0, 29, 27
50,88.0,430.0,2.0,2.0, 34, 33
40,65.0,357.0,2.0,1.0, 21, 20
60,92.0,589.0,4.0,4.0, 56, 53
70,107.0,674.0,5.0,4.0, 65, 61
90,133.0,902.0,7.0,8.0, 106, 103
80,116.0,839.0,7.0,7.0, 96, 86
100,140.0,998.0,11.0,12.0, 183, 170
