n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,32.0,275.0,1.0,0.0, 0, 0
20,64.0,459.0,2.0,1.0, 2, 2
30,96.0,2237.0,17.0,16.0, 18, 16
50,157.0,3952.0,8.0,7.0, 29, 21
40,128.0,3089.0,21.0,20.0, 18, 15
60,190.0,4788.0,8.0,8.0, 42, 34
70,220.0,5795.0,62.0,61.0, 51, 39
90,283.0,7570.0,76.0,75.0, 84, 65
80,250.0,6885.0,54.0,53.0, 68, 57
100,315.0,8370.0,101.0,98.0, 140, 113
