n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 10.00, 0.00,4, 1.00, 34.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 24.00, 1.00,6, 2.00, 87.00, 8, 0.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 29.00, 1.00,10, 4.00, 276.00, 25, 1.00, 2.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 53.00, 2.00,16, 6.00, 440.00, 40, 1.00, 2.00, 1.00, 1.00, 40, 44, 34, 34, 33,
40, 37.00, 2.00,13, 5.00, 360.00, 33, 2.00, 1.00, 0.00, 1.00, 33, 26, 21, 21, 20,
60, 62.00, 3.00,20, 7.00, 597.00, 55, 3.00, 1.00, 2.00, 2.00, 55, 70, 56, 56, 53,
70, 69.00, 6.00,28, 9.00, 698.00, 63, 3.00, 2.00, 2.00, 2.00, 63, 90, 65, 65, 61,
90, 85.00, 5.00,29, 11.00, 934.00, 84, 4.00, 3.00, 3.00, 4.00, 84, 144, 106, 106, 103,
80, 79.00, 5.00,25, 10.00, 857.00, 78, 3.00, 5.00, 3.00, 5.00, 78, 123, 96, 96, 86,
100, 99.00, 6.00,32, 12.00, 1034.00, 93, 4.00, 7.00, 5.00, 8.00, 93, 220, 183, 183, 170,
