n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,9.0,16.0,0.0,0.0, 2, 0
200,166.0,1053.0,34.0,53.0, 718, 556
150,123.0,787.0,20.0,30.0, 423, 344
30,27.0,128.0,2.0,2.0, 31, 24
50,48.0,242.0,3.0,3.0, 43, 35
130,120.0,681.0,16.0,20.0, 276, 223
110,98.0,569.0,13.0,17.0, 220, 171
70,71.0,361.0,5.0,5.0, 77, 61
90,76.0,465.0,8.0,10.0, 119, 84
100,99.0,513.0,10.0,14.0, 200, 161
170,147.0,897.0,23.0,33.0, 431, 328
