n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 2.00,2, 2.00, 16.00, 3, 0.00, 0.00, 1.00, 0.00, 3, 2, 2, 2, 0,
20, 27.00, 3.00,2, 2.00, 55.00, 10, 1.00, 0.00, 0.00, 0.00, 10, 10, 4, 4, 2,
30, 29.00, 3.00,3, 3.00, 133.00, 24, 1.00, 1.00, 1.00, 0.00, 24, 42, 31, 31, 24,
50, 40.00, 4.00,6, 6.00, 254.00, 46, 2.00, 1.00, 2.00, 1.00, 46, 66, 43, 43, 35,
40, 34.00, 3.00,4, 5.00, 206.00, 38, 1.00, 1.00, 0.00, 1.00, 38, 42, 21, 21, 19,
60, 44.00, 4.00,6, 7.00, 319.00, 59, 2.00, 3.00, 3.00, 2.00, 59, 121, 62, 62, 49,
70, 53.00, 5.00,7, 8.00, 365.00, 68, 3.00, 3.00, 3.00, 2.00, 68, 144, 77, 77, 61,
90, 59.00, 6.00,10, 10.00, 466.00, 88, 4.00, 5.00, 5.00, 5.00, 88, 261, 119, 119, 84,
80, 50.00, 6.00,8, 9.00, 416.00, 78, 3.00, 4.00, 4.00, 3.00, 78, 167, 101, 101, 85,
100, 57.00, 8.00,10, 11.00, 550.00, 97, 4.00, 6.00, 8.00, 7.00, 97, 335, 200, 200, 161,
