n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 1.00,16, 1.00, 364.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 38.00, 1.00,31, 3.00, 494.00, 4, 0.00, 0.00, 0.00, 0.00, 4, 2, 2, 2, 2,
30, 57.00, 1.00,48, 4.00, 2294.00, 19, 1.00, 0.00, 0.00, 0.00, 19, 21, 7, 7, 5,
50, 94.00, 2.00,80, 6.00, 3129.00, 26, 1.00, 1.00, 1.00, 0.00, 26, 18, 7, 7, 5,
40, 75.00, 1.00,63, 4.00, 2510.00, 21, 1.00, 0.00, 0.00, 0.00, 21, 11, 8, 8, 5,
60, 113.00, 2.00,96, 7.00, 4366.00, 36, 1.00, 2.00, 0.00, 1.00, 36, 29, 9, 9, 4,
70, 130.00, 2.00,111, 7.00, 6065.00, 51, 2.00, 1.00, 1.00, 0.00, 51, 42, 15, 15, 12,
90, 167.00, 2.00,143, 10.00, 7539.00, 63, 3.00, 3.00, 1.00, 1.00, 63, 61, 17, 17, 11,
80, 147.00, 2.00,127, 9.00, 6815.00, 57, 3.00, 2.00, 1.00, 1.00, 57, 57, 19, 19, 8,
100, 183.00, 2.00,158, 11.00, 9203.00, 77, 3.00, 6.00, 3.00, 3.00, 77, 106, 37, 37, 21,
