n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 18.00, 1.00,12, 1.00, 284.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
150, 255.00, 12.00,193,1,1,1,1,1,1,1,1,1,1,1,1,
30, 54.00, 3.00,37, 3.00, 2293.00, 25, 1.00, 16.00, 1.00, 15.00, 25, 34, 18, 18, 16,
50, 85.00, 4.00,63, 5.00, 3949.00, 44, 2.00, 6.00, 1.00, 6.00, 44, 52, 29, 29, 21,
130, 217.00, 10.00,161,1,1,1,1,1,1,1,1,1,1,1,1,
110, 185.00, 8.00,141, 11.00, 9188.00, 102, 4.00, 101.00, 5.00, 101.00, 102, 244, 149, 149, 114,
70, 119.00, 6.00,86, 7.00, 5790.00, 64, 3.00, 59.00, 2.00, 59.00, 64, 100, 51, 51, 39,
90, 153.00, 7.00,114, 9.00, 7516.00, 84, 4.00, 72.00, 3.00, 71.00, 84, 145, 84, 84, 65,
100, 169.00, 8.00,127, 11.00, 8340.00, 93, 4.00, 94.00, 5.00, 94.00, 93, 237, 140, 140, 113,
170, 289.00, 13.00,215,1,1,1,1,1,1,1,1,1,1,1,1,
