n, ConstructKCBP, ConstructModelAABB, init-CD(kCBP-aabb), init-CD(kCBP-GJK), count(kCBP), count(real)
10,15.0,33.0,1.0,0.0, 2, 2
20,29.0,90.0,1.0,0.0, 3, 2
30,50.0,281.0,3.0,2.0, 29, 27
50,76.0,436.0,3.0,2.0, 34, 33
40,65.0,361.0,3.0,1.0, 21, 20
60,88.0,603.0,4.0,4.0, 56, 53
70,107.0,685.0,5.0,4.0, 65, 61
90,131.0,970.0,8.0,8.0, 106, 103
80,116.0,867.0,8.0,8.0, 96, 86
100,147.0,1070.0,11.0,13.0, 183, 170
