n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 6.00, 0.00,1, 2.00, 16.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 2, 2, 0,
200, 116.00, 14.00,20, 21.00, 1054.00, 200, 8.00, 27.00, 28.00, 26.00, 200, 1328, 718, 718, 556,
150, 84.00, 11.00,14, 15.00, 787.00, 149, 6.00, 14.00, 16.00, 13.00, 149, 727, 423, 424, 344,
30, 28.00, 2.00,3, 3.00, 127.00, 24, 1.00, 0.00, 0.00, 1.00, 24, 42, 31, 31, 24,
50, 35.00, 4.00,5, 5.00, 242.00, 46, 2.00, 1.00, 2.00, 1.00, 46, 66, 43, 43, 35,
130, 87.00, 10.00,13, 13.00, 684.00, 130, 6.00, 10.00, 11.00, 10.00, 130, 507, 276, 276, 223,
110, 68.00, 8.00,11, 12.00, 569.00, 108, 4.00, 9.00, 9.00, 8.00, 108, 393, 220, 220, 171,
70, 46.00, 5.00,7, 8.00, 363.00, 68, 3.00, 2.00, 3.00, 2.00, 68, 144, 77, 77, 61,
90, 63.00, 7.00,8, 9.00, 465.00, 88, 4.00, 4.00, 5.00, 5.00, 88, 261, 119, 119, 84,
100, 67.00, 7.00,10, 11.00, 513.00, 97, 4.00, 6.00, 7.00, 7.00, 97, 335, 200, 200, 161,
170, 104.00, 12.00,17, 18.00, 898.00, 170, 7.00, 16.00, 18.00, 15.00, 170, 786, 431, 431, 328,
