n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 13.00, 1.00,4, 1.00, 32.00, 3, 0.00, 1.00, 0.00, 0.00, 3, 2, 2, 2, 2,
20, 23.00, 1.00,7, 3.00, 86.00, 8, 1.00, 0.00, 0.00, 0.00, 8, 5, 3, 3, 2,
30, 34.00, 2.00,10, 3.00, 269.00, 25, 1.00, 1.00, 1.00, 1.00, 25, 37, 29, 29, 27,
50, 58.00, 3.00,15, 6.00, 430.00, 40, 1.00, 1.00, 1.00, 1.00, 40, 44, 34, 34, 33,
40, 48.00, 2.00,14, 4.00, 354.00, 33, 1.00, 0.00, 0.00, 1.00, 33, 26, 21, 21, 20,
60, 62.00, 4.00,19, 7.00, 585.00, 55, 2.00, 2.00, 2.00, 1.00, 55, 70, 56, 56, 53,
70, 69.00, 4.00,22, 9.00, 674.00, 63, 3.00, 2.00, 2.00, 3.00, 63, 90, 65, 65, 61,
90, 92.00, 4.00,28, 10.00, 904.00, 84, 4.00, 4.00, 3.00, 4.00, 84, 144, 106, 106, 103,
80, 75.00, 4.00,25, 9.00, 836.00, 78, 4.00, 4.00, 3.00, 4.00, 78, 123, 96, 96, 86,
100, 96.00, 5.00,32, 11.00, 991.00, 93, 4.00, 6.00, 5.00, 8.00, 93, 220, 183, 183, 170,
