n,ach,cluster,projection,duality,aabbBuild,aabbBuildCount,init(kCBP),CD(kCBP),init(GJK),CD(GJK),kcbpModelCheckCount,count(Box),count(kCBP),count(GJK),count(real),
10, 19.00, 1.00,12, 1.00, 284.00, 3, 0.00, 0.00, 0.00, 0.00, 3, 2, 0, 0, 0,
20, 37.00, 2.00,25, 2.00, 482.00, 5, 0.00, 1.00, 0.00, 2.00, 5, 3, 2, 2, 2,
30, 57.00, 2.00,39, 3.00, 2330.00, 25, 1.00, 17.00, 1.00, 18.00, 25, 34, 18, 18, 16,
50, 89.00, 4.00,62, 5.00, 4066.00, 44, 2.00, 6.00, 1.00, 6.00, 44, 52, 29, 29, 21,
40, 70.00, 3.00,51, 4.00, 3179.00, 34, 1.00, 20.00, 0.00, 20.00, 34, 26, 18, 18, 15,
60, 108.00, 5.00,76, 6.00, 4872.00, 53, 3.00, 6.00, 1.00, 7.00, 53, 68, 42, 42, 34,
70, 121.00, 5.00,89, 8.00, 5920.00, 64, 3.00, 61.00, 2.00, 60.00, 64, 100, 51, 51, 39,
90, 154.00, 7.00,118, 10.00, 7693.00, 84, 4.00, 75.00, 4.00, 72.00, 84, 145, 84, 84, 65,
80, 138.00, 6.00,100, 9.00, 7003.00, 76, 3.00, 53.00, 3.00, 52.00, 76, 119, 68, 68, 57,
100, 169.00, 9.00,131, 11.00, 8479.00, 93, 4.00, 96.00, 7.00, 93.00, 93, 237, 140, 140, 113,
