n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 2551.00,0.00, 0,
 600, 2585.00,8.00, 7,
 900, 2571.00,12.00, 11,
 200, 2559.00,3.00, 2,
 700, 2579.00,10.00, 9,
 50, 2545.00,0.00, 0,
 300, 2549.00,4.00, 3,
 400, 2547.00,5.00, 3,
 500, 2550.00,7.00, 5,
 800, 2553.00,11.00, 9,
 100, 2589.00,2.00, 0,
 1000, 2564.00,14.00, 11,
