n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 193.00,0.00, 0,
 600, 193.00,6.00, 13,
 900, 190.00,10.00, 21,
 200, 194.00,3.00, 6,
 700, 193.00,8.00, 15,
 50, 192.00,1.00, 1,
 300, 191.00,3.00, 8,
 400, 191.00,5.00, 10,
 500, 193.00,6.00, 12,
 800, 192.00,10.00, 17,
 100, 192.00,1.00, 2,
 1000, 192.00,11.00, 21,
