n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 4425.00,0.00, 0,
 600, 4460.00,7.00, 3,
 900, 4435.00,13.00, 5,
 200, 4448.00,2.00, 0,
 700, 4429.00,7.00, 3,
 50, 4415.00,1.00, 0,
 300, 4444.00,3.00, 1,
 400, 4421.00,4.00, 1,
 500, 4406.00,5.00, 2,
 800, 4451.00,8.00, 3,
 100, 4454.00,2.00, 0,
 1000, 4439.00,14.00, 5,
