n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 772.00,0.00, 0,
 600, 772.00,7.00, 12,
 900, 768.00,11.00, 21,
 200, 784.00,2.00, 5,
 700, 784.00,8.00, 15,
 50, 767.00,1.00, 0,
 300, 770.00,4.00, 6,
 400, 768.00,5.00, 7,
 500, 771.00,6.00, 9,
 800, 766.00,10.00, 17,
 100, 769.00,2.00, 2,
 1000, 772.00,12.00, 21,
