n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 7883.00,0.00, 0,
 600, 7896.00,13.00, 5,
 900, 7904.00,13.00, 8,
 200, 7887.00,5.00, 2,
 700, 7898.00,11.00, 6,
 50, 7896.00,1.00, 0,
 300, 7926.00,6.00, 2,
 400, 7920.00,7.00, 2,
 500, 7886.00,9.00, 4,
 800, 7957.00,12.00, 7,
 100, 7892.00,1.00, 0,
 1000, 7908.00,15.00, 8,
