n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 192.00,0.00, 0,
 600, 192.00,6.00, 13,
 900, 191.00,10.00, 21,
 200, 191.00,2.00, 6,
 700, 192.00,8.00, 15,
 50, 190.00,1.00, 1,
 300, 190.00,4.00, 8,
 400, 191.00,5.00, 10,
 500, 192.00,6.00, 12,
 800, 191.00,9.00, 17,
 100, 193.00,1.00, 2,
 1000, 191.00,11.00, 21,
