n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 7921.00,0.00, 0,
 600, 7937.00,9.00, 5,
 900, 7916.00,15.00, 8,
 200, 7951.00,5.00, 2,
 700, 7913.00,12.00, 6,
 50, 7935.00,1.00, 0,
 300, 7942.00,5.00, 2,
 400, 7924.00,10.00, 2,
 500, 7983.00,9.00, 4,
 800, 7932.00,12.00, 7,
 100, 7910.00,1.00, 0,
 1000, 7933.00,14.00, 8,
