n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 2563.00,0.00, 0,
 600, 2567.00,8.00, 7,
 900, 2552.00,11.00, 11,
 200, 2569.00,3.00, 2,
 700, 2552.00,9.00, 9,
 50, 2551.00,0.00, 0,
 300, 2566.00,4.00, 3,
 400, 2558.00,5.00, 3,
 500, 2567.00,6.00, 5,
 800, 2583.00,10.00, 9,
 100, 2545.00,2.00, 0,
 1000, 2555.00,13.00, 11,
