n,init(kDOPTree),CD(kDOPTree),count(real),
 10, 4428.00,1.00, 0,
 600, 4393.00,7.00, 3,
 900, 4428.00,12.00, 5,
 200, 4416.00,2.00, 0,
 700, 4415.00,8.00, 3,
 50, 4446.00,0.00, 0,
 300, 4421.00,4.00, 1,
 400, 4428.00,4.00, 1,
 500, 4441.00,6.00, 2,
 800, 4405.00,9.00, 3,
 100, 4416.00,1.00, 0,
 1000, 4406.00,13.00, 5,
