n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 485.00, 0.00, 2, 0,
 20, 1596.00, 1.00, 10, 2,
 30, 3842.00, 3.00, 42, 23,
 50, 7369.00, 4.00, 66, 35,
 40, 6059.00, 3.00, 42, 19,
 60, 9376.00, 7.00, 121, 49,
 70, 10787.00, 8.00, 144, 61,
 90, 13971.00, 14.00, 261, 84,
 80, 12423.00, 11.00, 167, 85,
 100, 15450.00, 21.00, 335, 161,
