n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 8034.00, 0.00, 2, 0,
 20, 13351.00, 0.00, 3, 2,
 30, 66648.00, 4.00, 34, 16,
 50, 117497.00, 15.00, 52, 21,
 40, 90799.00, 6.00, 26, 15,
 60, 141784.00, 10.00, 68, 34,
