n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6963.00, 0.00, 2, 0,
 20, 11503.00, 0.00, 3, 1,
 30, 50471.00, 1.00, 25, 7,
 50, 73399.00, 2.00, 26, 12,
 40, 66534.00, 2.00, 17, 9,
 60, 119831.00, 3.00, 52, 22,
 70, 131661.00, 5.00, 63, 22,
 90, 177757.00, 8.00, 102, 38,
 80, 164270.00, 5.00, 83, 28,
