n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 8049.00, 0.00, 2, 0,
 20, 13370.00, 0.00, 3, 2,
 30, 66832.00, 4.00, 34, 16,
 50, 117729.00, 12.00, 52, 21,
 40, 91415.00, 5.00, 26, 15,
 60, 142525.00, 8.00, 68, 34,
