n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 13045.00, 0.00, 1, 0,
 30, 143310.00, 2.00, 29, 7,
 20, 32894.00, 0.00, 3, 2,
 40, 177118.00, 4.00, 15, 8,
