n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6837.00, 0.00, 2, 0,
 20, 11437.00, 0.00, 3, 1,
 30, 50473.00, 2.00, 25, 7,
 50, 72719.00, 2.00, 26, 12,
 40, 66374.00, 2.00, 17, 9,
 60, 118467.00, 4.00, 52, 22,
 70, 129855.00, 5.00, 63, 22,
 90, 177969.00, 9.00, 102, 38,
 80, 163198.00, 6.00, 83, 28,
