n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 13085.00, 0.00, 1, 0,
 30, 142468.00, 3.00, 29, 7,
 20, 33059.00, 0.00, 3, 2,
 40, 176231.00, 5.00, 15, 8,
