n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 10850.00, 0.00, 2, 0,
 20, 14534.00, 0.00, 2, 2,
 30, 68713.00, 2.00, 21, 5,
 50, 94326.00, 8.00, 18, 5,
 40, 75917.00, 3.00, 11, 5,
 60, 129793.00, 6.00, 29, 4,
