n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1874.00, 1.00, 2, 2,
 20, 4983.00, 0.00, 5, 2,
 30, 15442.00, 3.00, 37, 27,
 50, 24685.00, 4.00, 44, 32,
 40, 20367.00, 3.00, 26, 18,
 60, 33994.00, 7.00, 70, 51,
 70, 38930.00, 9.00, 90, 60,
 90, 51818.00, 17.00, 144, 101,
 80, 48220.00, 12.00, 123, 83,
 100, 57502.00, 25.00, 220, 161,
