n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1876.00, 0.00, 2, 2,
 20, 4949.00, 1.00, 5, 2,
 30, 15466.00, 4.00, 37, 27,
 50, 24689.00, 5.00, 44, 32,
 40, 20419.00, 3.00, 26, 18,
 60, 33976.00, 7.00, 70, 51,
 70, 38978.00, 9.00, 90, 60,
 90, 51877.00, 17.00, 144, 101,
 80, 48211.00, 12.00, 123, 83,
 100, 57490.00, 25.00, 220, 161,
