n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 485.00, 0.00, 2, 0,
 20, 1601.00, 1.00, 10, 2,
 30, 3817.00, 3.00, 42, 23,
 50, 7418.00, 5.00, 66, 35,
 40, 6135.00, 3.00, 42, 19,
 60, 9438.00, 7.00, 121, 49,
 70, 10816.00, 8.00, 144, 61,
 90, 14007.00, 14.00, 261, 84,
 80, 12385.00, 10.00, 167, 85,
 100, 15527.00, 22.00, 335, 161,
