n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1874.00, 0.00, 2, 2,
 20, 4951.00, 0.00, 5, 2,
 30, 15411.00, 3.00, 37, 27,
 50, 24707.00, 5.00, 44, 32,
 40, 20383.00, 3.00, 26, 18,
 60, 33906.00, 8.00, 70, 51,
 70, 38779.00, 8.00, 90, 60,
 90, 51781.00, 17.00, 144, 101,
 80, 48074.00, 12.00, 123, 83,
 100, 57931.00, 25.00, 220, 161,
