n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 1877.00, 0.00, 2, 2,
 20, 4966.00, 1.00, 5, 2,
 30, 15458.00, 3.00, 37, 27,
 50, 24720.00, 5.00, 44, 32,
 40, 20402.00, 3.00, 26, 18,
 60, 34019.00, 8.00, 70, 51,
 70, 38926.00, 9.00, 90, 60,
 90, 51876.00, 17.00, 144, 101,
 80, 48230.00, 11.00, 123, 83,
 100, 57439.00, 26.00, 220, 161,
