n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 10774.00, 0.00, 2, 0,
 20, 14338.00, 0.00, 2, 2,
 30, 68323.00, 2.00, 21, 5,
 50, 93298.00, 9.00, 18, 5,
 40, 75548.00, 2.00, 11, 5,
 60, 129085.00, 6.00, 29, 4,
