n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 8095.00, 0.00, 2, 0,
 20, 13445.00, 0.00, 3, 2,
 30, 67232.00, 5.00, 34, 16,
 50, 117974.00, 12.00, 52, 21,
 40, 91590.00, 5.00, 26, 15,
 60, 141571.00, 9.00, 68, 34,
