n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 10729.00, 0.00, 2, 0,
 20, 14345.00, 0.00, 2, 2,
 30, 68076.00, 2.00, 21, 5,
 50, 94061.00, 7.00, 18, 5,
 40, 75536.00, 3.00, 11, 5,
 60, 129274.00, 6.00, 29, 4,
