n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 6863.00, 0.00, 2, 0,
 20, 11379.00, 1.00, 3, 1,
 30, 50107.00, 2.00, 25, 7,
 50, 72976.00, 3.00, 26, 12,
 40, 66080.00, 2.00, 17, 9,
 60, 118792.00, 4.00, 52, 22,
 70, 130654.00, 4.00, 63, 22,
 90, 177206.00, 8.00, 102, 38,
 80, 164291.00, 6.00, 83, 28,
