n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 13052.00, 0.00, 1, 0,
 30, 142867.00, 2.00, 29, 7,
 20, 32464.00, 1.00, 3, 2,
 40, 175705.00, 4.00, 15, 8,
