n,init(kDOPTree),CD(kDOPTree),count(Box),count(real),
 10, 10699.00, 1.00, 2, 0,
 20, 14299.00, 0.00, 2, 2,
 30, 68608.00, 1.00, 21, 5,
 50, 93561.00, 7.00, 18, 5,
 40, 75989.00, 3.00, 11, 5,
 60, 130411.00, 9.00, 29, 4,
